Date,AAPL,SP500,NASDAQ
1990-01-01,0.242512360215187,329.0799865722656,415.7999877929688
1990-02-01,0.242512360215187,331.8900146484375,425.7999877929688
1990-03-01,0.2880172431468963,339.94000244140625,435.5
1990-04-01,0.2817564308643341,330.79998779296875,420.1000061035156
1990-05-01,0.295173317193985,361.2300109863281,459.0
1990-06-01,0.3211067020893097,358.0199890136719,462.2999877929688
1990-07-01,0.3013734817504883,356.1499938964844,438.2000122070313
1990-08-01,0.2654955387115478,322.5599975585937,381.2000122070313
1990-09-01,0.2087205201387405,306.04998779296875,344.5
1990-10-01,0.221315786242485,304.0,329.79998779296875
1990-11-01,0.2644988894462585,322.2200012207031,359.1000061035156
1990-12-01,0.3105164766311645,330.2200012207031,373.7999877929688
1991-01-01,0.400782823562622,343.92999267578125,414.2000122070313
1991-02-01,0.4134202301502228,367.0700073242188,453.1000061035156
1991-03-01,0.4920822381973266,375.2200012207031,482.2999877929688
1991-04-01,0.3980075120925903,375.3399963378906,484.7200012207031
1991-05-01,0.3401158154010772,389.8299865722656,506.1099853515625
1991-06-01,0.3010835945606231,371.1600036621094,475.9200134277344
1991-07-01,0.3355443179607391,387.80999755859375,502.0400085449219
1991-08-01,0.3845158815383911,395.4299926757813,525.6799926757812
1991-09-01,0.3599340617656708,387.8599853515625,526.8800048828125
1991-10-01,0.3744767606258392,392.4500122070313,542.97998046875
1991-11-01,0.3690235614776611,375.2200012207031,523.9000244140625
1991-12-01,0.4109107553958893,417.0899963378906,586.3400268554688
1992-01-01,0.4719553291797638,408.7799987792969,620.2100219726562
1992-02-01,0.4919999539852142,412.7000122070313,633.469970703125
1992-03-01,0.4253714978694916,403.6900024414063,603.77001953125
1992-04-01,0.4390637576580047,414.9500122070313,578.6799926757812
1992-05-01,0.4363253116607666,415.3500061035156,585.3099975585938
1992-06-01,0.3505205810070038,408.1400146484375,563.5999755859375
1992-07-01,0.3420798480510711,424.2099914550781,580.8300170898438
1992-08-01,0.3365913033485412,414.0299987792969,563.1199951171875
1992-09-01,0.3310767114162445,417.7999877929688,583.27001953125
1992-10-01,0.3851859271526336,418.6799926757813,605.1699829101562
1992-11-01,0.4218705296516418,431.3500061035156,652.72998046875
1992-12-01,0.4393108487129211,435.7099914550781,676.9500122070312
1993-01-01,0.4374729692935943,438.7799987792969,696.3400268554688
1993-02-01,0.3896815180778503,443.3800048828125,670.77001953125
1993-03-01,0.3794784247875213,451.6700134277344,690.1300048828125
1993-04-01,0.3776364326477051,440.1900024414063,661.4199829101562
1993-05-01,0.4172421991825104,450.1900024414063,700.530029296875
1993-06-01,0.2916652858257293,450.5299987792969,703.9500122070312
1993-07-01,0.2049039751291275,448.1300048828125,704.7000122070312
1993-08-01,0.1956738084554672,463.55999755859375,742.8400268554688
1993-09-01,0.1733584851026535,458.9299926757813,762.780029296875
1993-10-01,0.2280552387237548,467.8299865722656,779.260009765625
1993-11-01,0.2336171418428421,461.7900085449219,754.3900146484375
1993-12-01,0.2177100628614425,466.4500122070313,776.7999877929688
1994-01-01,0.2437607198953628,481.6099853515625,800.469970703125
1994-02-01,0.2716722190380096,467.1400146484375,792.5
1994-03-01,0.2483714669942855,445.7699890136719,743.4600219726562
