Date,AAPL
1990-01-01,0.242512360215187
1990-02-01,0.242512360215187
1990-03-01,0.2880172431468963
1990-04-01,0.2817564308643341
1990-05-01,0.295173317193985
1990-06-01,0.3211067020893097
1990-07-01,0.3013734817504883
1990-08-01,0.2654955387115478
1990-09-01,0.2087205201387405
1990-10-01,0.221315786242485
1990-11-01,0.2644988894462585
1990-12-01,0.3105164766311645
1991-01-01,0.400782823562622
1991-02-01,0.4134202301502228
1991-03-01,0.4920822381973266
1991-04-01,0.3980075120925903
1991-05-01,0.3401158154010772
1991-06-01,0.3010835945606231
1991-07-01,0.3355443179607391
1991-08-01,0.3845158815383911
1991-09-01,0.3599340617656708
1991-10-01,0.3744767606258392
1991-11-01,0.3690235614776611
1991-12-01,0.4109107553958893
1992-01-01,0.4719553291797638
1992-02-01,0.4919999539852142
1992-03-01,0.4253714978694916
1992-04-01,0.4390637576580047
1992-05-01,0.4363253116607666
1992-06-01,0.3505205810070038
1992-07-01,0.3420798480510711
1992-08-01,0.3365913033485412
1992-09-01,0.3310767114162445
1992-10-01,0.3851859271526336
1992-11-01,0.4218705296516418
1992-12-01,0.4393108487129211
1993-01-01,0.4374729692935943
1993-02-01,0.3896815180778503
1993-03-01,0.3794784247875213
1993-04-01,0.3776364326477051
1993-05-01,0.4172421991825104
1993-06-01,0.2916652858257293
1993-07-01,0.2049039751291275
1993-08-01,0.1956738084554672
1993-09-01,0.1733584851026535
1993-10-01,0.2280552387237548
1993-11-01,0.2336171418428421
1993-12-01,0.2177100628614425
1994-01-01,0.2437607198953628
1994-02-01,0.2716722190380096
1994-03-01,0.2483714669942855
1994-04-01,0.2240943610668182
1994-05-01,0.2184924185276031
1994-06-01,0.1987316161394119
1994-07-01,0.2526327669620514
1994-08-01,0.2713815569877624
1994-09-01,0.253507912158966
1994-10-01,0.324998676776886
1994-11-01,0.2803166806697845
1994-12-01,0.2943686842918396
1995-01-01,0.3047473132610321
1995-02-01,0.2981433272361755
1995-03-01,0.2667955756187439
1995-04-01,0.2895018756389618
1995-05-01,0.3145731687545776
1995-06-01,0.3524453043937683
1995-07-01,0.3415350615978241
1995-08-01,0.3263558745384216
1995-09-01,0.283486396074295
1995-10-01,0.2763520777225494
1995-11-01,0.2901458144187927
1995-12-01,0.2433363199234008
1996-01-01,0.2108918875455856
